TSN|Scientific Name|Author|Rank Name|Credibility|Name Usage|Accepted TSN|Accepted Name
196378|Erythronium howellii|S. Watson|Species        |Reviewed|not accepted|196370|Erythronium citrinum
196379|Erythronium klamathense|Applegate|Species        |Reviewed|accepted||
810154|Erythronium multiscapideum|(Kellogg) A. Nelson & P.B. Kenn.|Species        |Reviewed|accepted||
196382|Erythronium oregonum|Applegate|Species        |Reviewed|accepted||
196387|Erythronium purpurascens|S. Watson|Species        |Reviewed|accepted||
196388|Erythronium pusaterii|(Munz & J.T. Howell) Shevock, Bartel & G.A. Allen|Species        |Reviewed|accepted||
196389|Erythronium revolutum|Sm.|Species        |Reviewed|accepted||
|Erythronium shastense|||||
507870|Fritillaria affinis|(Schult.) Sealy|Species        |Reviewed|accepted||
502668|Fritillaria agrestis|Greene|Species        |Reviewed|accepted||
502669|Fritillaria atropurpurea|Nutt.|Species        |Reviewed|accepted||
502670|Fritillaria biflora|Lindl.|Species        |Reviewed|accepted||
502672|Fritillaria eastwoodiae|R.M. Macfarl.|Species        |Reviewed|accepted||
502674|Fritillaria gentneri|Gilkey|Species        |Reviewed|accepted||
502675|Fritillaria glauca|Greene|Species        |Reviewed|accepted||
502677|Fritillaria liliacea|Torr.|Species        |Reviewed|not accepted|502682|Fritillaria recurva
565198|Fritillaria liliacea|Lindl.|Species        |Reviewed|accepted||
565814|Fritillaria liliacea|Benth.|Species        |Reviewed|not accepted|502668|Fritillaria agrestis
42935|Fritillaria micrantha|A. Heller|Species        |Reviewed|accepted||
502678|Fritillaria ojaiensis|Davidson|Species        |Reviewed|accepted||
502680|Fritillaria pluriflora|Torr. ex Benth.|Species        |Reviewed|accepted||
42936|Fritillaria pudica|(Pursh) Spreng.|Species        |Reviewed|accepted||
502681|Fritillaria purdyi|Eastw.|Species        |Reviewed|accepted||
502682|Fritillaria recurva|Benth.|Species        |Reviewed|accepted||
513708|Fritillaria roderickii|W. Knight|Species        |Reviewed|not accepted|810344|Fritillaria biflora var. biflora
503095|Hyacinthus orientalis|L.|Species        |Reviewed|accepted||
42724|Lilium bolanderi|S. Watson|Species        |Reviewed|accepted||
503452|Lilium columbianum|Leichtlin ex Duch.|Species        |Reviewed|accepted||
42726|Lilium humboldtii|Roezl & Leichtlin ex Duch.|Species        |Reviewed|accepted||
42738|Lilium kelleyanum|Lemmon|Species        |Reviewed|accepted||
42739|Lilium kelloggii|Purdy|Species        |Reviewed|accepted||
42740|Lilium maritimum|Kellogg|Species        |Reviewed|accepted||
42742|Lilium occidentale|Purdy|Species        |Reviewed|accepted||
42743|Lilium pardalinum|Kellogg|Species        |Reviewed|accepted||
42727|Lilium parvum|Kellogg|Species        |Reviewed|accepted||
42728|Lilium rubescens|S. Watson|Species        |Reviewed|accepted||
42748|Lilium washingtonianum|Kellogg|Species        |Reviewed|accepted||
42977|Muscari botryoides|(L.) Mill.|Species        |Reviewed|accepted||
519634|Prosartes hookeri|Torr.|Species        |Reviewed|accepted||
519635|Prosartes parvifolia|S. Watson|Species        |Reviewed|not accepted|519634|Prosartes hookeri
810228|Prosartes smithii|(Hook.) Utech, Shinwari & Kawano|Species        |Reviewed|accepted||
43032|Scoliopus bigelovii|Torr.|Species        |Reviewed|accepted||
43044|Streptopus amplexifolius|(L.) DC.|Species        |Reviewed|accepted||
42544|Arum italicum|Mill.|Species        |Reviewed|accepted||
811045|Arum palaestinum|Boiss.|Species        |Reviewed|accepted||
811051|Landoltia punctata|(G. Mey.) Les & D.J. Crawford|Species        |Reviewed|accepted||
