genus,species,score
Hedypnois,rhagadioloides,1.7514975303884822e-05
Helenium,autumnale,0.001507071854090299
Helenium,bigelovii,0.002677610228154078
Helenium,bolanderi,0.001076512997192595
Helenium,flexuosum,2.5567600736346902e-05
Helenium,puberulum,0.0005040600997193655
Helianthella,californica,0.0004982082501373939
Helianthella,douglasii,2.5567600736346902e-05
Helianthella,quinquenervis,3.309285856112251e-05
Helianthella,uniflora,0.0004190248453438349
Helianthus,annuus,0.0008242365210929806
Helianthus,bolanderi,0.0005645198617269129
Helianthus,cusickii,0.00016234058668181768
Helianthus,exilis,0.0002539671419063299
Helianthus,grosseserratus,7.67028022090407e-05
Helianthus,hirsutus,2.5567600736346902e-05
Helianthus,laetiflorus,2.5567600736346902e-05
Helianthus,maximiliani,0.00014438443296229577
Helianthus,nuttallii,8.757487651942411e-06
Helianthus,pauciflorus,2.5567600736346902e-05
Helianthus,petiolaris,8.422806003381632e-05
Helianthus,tuberosus,7.520688857803067e-05
Helichrysum,petiolare,1.6546429280561253e-05
Helminthotheca,echioides,0.0015235672984266935
Hemizonella,durandi,2.5567600736346902e-05
Hemizonella,minima,0.0034234774776301284
Hemizonia,congesta,0.00260010880727924
Hesperevax,acaulis,0.00017809596455084923
Hesperevax,sparsiflora,0.0004943340660440996
Heterotheca,grandiflora,8.757487651942411e-06
Heterotheca,oregona,0.0015682396980180966
Heterotheca,sessiliflora,0.00032332218090238885
Heterotheca,subaxillaris,7.67028022090407e-05
Heterotheca,villosa,0.0013862308724588478
Hieracium,Hieracium,2.5567600736346902e-05
Hieracium,alberinum,3.309285856112251e-05
Hieracium,albiflorum,0.013405413028130041
Hieracium,ambiguum,9.175331785859192e-05
Hieracium,aurantiacum,0.0010732653794020587
Hieracium,bolanderi,0.0007815493475250531
Hieracium,caespitosum,0.0007485324457005896
Hieracium,diaphanum,9.324923148960196e-05
Hieracium,flagellare,7.67028022090407e-05
Hieracium,floribundum,0.0001534056044180814
Hieracium,glomeratum,7.67028022090407e-05
Hieracium,gracile,0.00047059878092506276
Hieracium,greenei,0.0011864455791325218
Hieracium,horridum,0.00031048977258694597
Hieracium,howellii,1.6546429280561253e-05
Hieracium,lachenalii,0.001210427075451841
Hieracium,lactucella,2.5567600736346902e-05
Hieracium,laevigatum,0.00040908161178155044
Hieracium,longiberbe,0.00039258087217071457
Hieracium,maculatum,0.00012783800368173451
Hieracium,murorum,0.0002617053515572346
Hieracium,nudicaule,0.0003902127602441142
Hieracium,parryi,0.0010531308112697521
Hieracium,pilosella,0.00032622884733247905
Hieracium,piloselloides,2.5567600736346902e-05
Hieracium,piperi,2.5567600736346902e-05
Hieracium,sabaudum,0.0007414604213540601
Hieracium,scouleri,0.005857269214084455
Hieracium,stoloniflorum,5.1135201472693805e-05
Hieracium,triste,0.003229976187252886
Hieracium,umbellatum,0.0002105701500845408
Hieracium,vulgatum,0.00021959132154032642
Holocarpha,virgata,8.757487651942411e-06
Holozonia,filipes,1.7514975303884822e-05
Hoorebekia,curvata,1.6546429280561253e-05
Hulsea,nana,0.002517789420405258
Hymenopappus,filifolius,5.1135201472693805e-05
Hymenothrix,wrightii,8.757487651942411e-06
Hymenoxys,cooperi,8.757487651942411e-06
Hymenoxys,hoopesii,0.00016348662731693512
Hymenoxys,lemmonii,0.00030651206781798435
Hypochaeris,glabra,0.0038826253699664453
Hypochaeris,radicata,0.027212378642105406
Inula,helenium,0.00034747501489178635
Ionactis,alpina,5.936532151694974e-05
Ionactis,stenomeres,5.1135201472693805e-05
Iva,axillaris,0.0008621039600357814
Jacobaea,maritima,0.00010077448931437757
Jaumea,carnosa,0.0013581022302274139
Krigia,virginica,2.5567600736346902e-05
Kyhosia,bolanderi,0.001094439216585712
Lactuca,biennis,0.0015118112237245632
Lactuca,canadensis,0.00038316413804931093
Lactuca,ludoviciana,0.00025638086958294933
Lactuca,saligna,0.0010265059570912227
Lactuca,sativa,0.00034892523885307093
Lactuca,serriola,0.012743249549455667
Lactuca,tatarica,5.254492591165447e-05
Lactuca,virosa,0.0002731909826673538
Lagophylla,dichotoma,8.757487651942411e-06
Lagophylla,glandulosa,7.005990121553929e-05
Lagophylla,minor,0.00014887729008302098
Lagophylla,ramosissima,0.00221105825617333
Lapsana,communis,0.0050329335127246135
Lapsanastrum,apogonoides,6.618571712224501e-05
Lasthenia,californica,0.001762354403855193
Lasthenia,conjugens,8.757487651942411e-06
Lasthenia,glaberrima,0.0009673085194305609
Lasthenia,gracilis,5.15763798883309e-05
Lasthenia,maritima,0.0002487349937119087
Lasthenia,microglossa,8.757487651942411e-06
Lasthenia,minor,8.616515208046346e-05
Lasthenia,ornduffii,0.00047502609281126527
Layia,carnosa,0.0005157232254412787
Layia,chrysanthemoides,0.00022383168175301176
Layia,fremontii,4.185034621306492e-05
Layia,gaillardioides,7.88173888674817e-05
Layia,glandulosa,0.0006598726531724665
Layia,platyglossa,0.00013136231477913615
Layia,septentrionalis,2.6272462955827234e-05
Leontodon,autumnalis,0.00027974769446880587
Leontodon,saxatilis,0.00506151214338056
Lessingia,arachnoidea,9.633236417136652e-05
Lessingia,hololeuca,7.88173888674817e-05
Lessingia,micradenia,8.757487651942411e-06
Lessingia,nemaclada,0.0007356289627631625
Lessingia,ramulosa,0.00019266472834273305
Leucanthemella,serotina,2.5567600736346902e-05
Leucanthemum,lacustre,1.7514975303884822e-05
Leucanthemum,maximum,0.00015995026115692444
Leucanthemum,superbum,0.00010077448931437757
Leucanthemum,vulgare,0.019225878969565322
Logfia,arvensis,0.00010227040294538761
Logfia,filaginoides,0.00018390724069079062
Logfia,gallica,0.0007867928428085916
Logfia,minima,0.0007816253042617122
Luina,hypoleuca,0.0041843978596100475
Madia,anomala,2.6272462955827234e-05
Madia,citrigracilis,0.0001043849896038286
Madia,citriodora,0.0005119758039820641
Madia,corymbosa,1.6546429280561253e-05
Madia,elegans,0.0032724321781369275
Madia,exigua,0.004757364247021135
Madia,filipes,2.5567600736346902e-05
Madia,glomerata,0.003169926942507647
Madia,gracilis,0.0071964922610463725
Madia,sativa,0.003889252128249701
Malacothrix,clevelandii,0.00010508985182330893
Malacothrix,floccifera,0.0009020212281500683
Malacothrix,torreyi,4.963928784168377e-05
Matricaria,chamomilla,0.00026320126518824464
Matricaria,discoidea,0.004841997172663287
Matricaria,occidentalis,6.033386754027331e-05
Micropus,amphibolus,8.757487651942411e-06
Micropus,californicus,0.0021453181996406315
Microseris,acuminata,9.245818007807225e-05
Microseris,bigelovii,0.00044627183871748645
Microseris,borealis,0.0017773574263011713
Microseris,detlingii,3.309285856112251e-05
Microseris,douglasii,0.00015569768568831626
Microseris,howellii,0.0007125391392168979
Microseris,laciniata,0.005211425409319673
Microseris,nutans,0.003880530879485353
Microseris,paludosa,3.5029950607769645e-05
Mulgedium,oblongifolium,0.00015478090000282634
Mulgedium,pulchellum,0.0003053152952051528
Mycelis,muralis,0.006356971727587572
Nabalus,hastatus,0.00026474286848898005
Nestotus,stenophyllus,0.0005558494314338255
